original_key	version_id	last_modified	is_latest	owner_id
runs/known_answer_expanded_cohort/workspace/results/clinicalization/clinicalization_readiness_rollup.csv	xm9zf9gCsH6oxueQ_St4fc8UYpiAh2rh	2026-06-15T01:49:32+00:00	false	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/clinicalization_readiness_rollup.csv/	ai5oyO7LsvuZERJf2aEfKRiH4v.Eajh5	2026-06-15T01:49:32+00:00	true	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/clinicalization_readiness_rollup.json	JtUDEbo0iEWm6MVfdestpO8S82dLg2hu	2026-06-15T01:49:31+00:00	false	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/clinicalization_readiness_rollup.json/	boaF9aXwB3yyUd5Rv.SIGmq_A3y0fv3S	2026-06-15T01:49:31+00:00	true	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_expanded_cohort_execution.csv	0oko_LfQHyBNqg.lomtNUjApEu0Bahc7	2026-06-15T01:49:31+00:00	false	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_expanded_cohort_execution.csv/	93F3jNgImWd4tVC76xG_Hcrew15KClv.	2026-06-15T01:49:31+00:00	true	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_expanded_cohort_execution.json	HuonF_L7RYk_iUTuH_qZLhTn5FY5kcrZ	2026-06-15T01:49:32+00:00	false	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_expanded_cohort_execution.json/	vhMUuUgx6Di0sURnPHjoywji_PqqZi9r	2026-06-15T01:49:32+00:00	true	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_expanded_cohort_execution.md	KMR750p7.abboBiqEK6ydS3DZyMYltmZ	2026-06-15T01:49:30+00:00	false	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_expanded_cohort_execution.md/	hAtTQjnR.ZCyM7F31OSmgElS4seN.lQ_	2026-06-15T01:49:31+00:00	true	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_public_finding_execution.csv	5NyE7es0eqa_5PeFp4Cg9VHAU0iqR.cs	2026-06-15T01:49:31+00:00	false	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_public_finding_execution.csv/	vUOsFhdfHmyid6dzrRe6drQU0MjsoqWk	2026-06-15T01:49:31+00:00	true	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_public_finding_execution.json	IYgNFzmLkZK0Q5_IGa8o2zYotEvYWcq7	2026-06-15T01:49:31+00:00	false	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_public_finding_execution.json/	T7izxF6hObkqXxlTxnYz._ZpNWEKmodL	2026-06-15T01:49:31+00:00	true	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_public_finding_execution.md	4vjJjfPDBrIO9_g6EaOT2Qf5fx9ss0xk	2026-06-15T01:49:31+00:00	false	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_public_finding_execution.md/	LCpAEMFTS2E1rTqs7PU1JZzU7.OHLh8r	2026-06-15T01:49:31+00:00	true	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_runs/expanded_cohort	LdrEVGWK4VrlJxK0BmJkk2z3CRlXeuAJ	2026-06-15T01:49:35+00:00	true	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_runs/expanded_cohort/	7vr3OqYLDbz4KqrpOLrdec72N4bxzdEF	2026-06-15T01:49:35+00:00	false	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_runs/expanded_cohort/colo829_platform_illumina_hiseqx.json	9lpNFilMJEtAcH9kvVIOVHG8drZYgrB_	2026-06-15T01:49:32+00:00	false	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_runs/expanded_cohort/colo829_platform_illumina_hiseqx.json/	X_2XlaYXcO_nW2Md8_hGIjVPBpHfBonU	2026-06-15T01:49:32+00:00	true	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_runs/expanded_cohort/colo829_platform_illumina_novaseq_phased.json	O1uGVjVTLf9Yvtppsp6mN_XXLOM4QOPR	2026-06-15T01:49:32+00:00	false	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_runs/expanded_cohort/colo829_platform_illumina_novaseq_phased.json/	Of9c.mAKFlULkvKO_bSffIa.aqkUu8pJ	2026-06-15T01:49:32+00:00	true	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_runs/expanded_cohort/colo829_platform_ont_minion.json	ZfkvhJAoGYMjAYMQstMBZHD_mLioHwhg	2026-06-15T01:49:32+00:00	false	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_runs/expanded_cohort/colo829_platform_ont_minion.json/	1WiU0hzm3ELul6e_8xrFYQ.8nf9hHKra	2026-06-15T01:49:32+00:00	true	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_runs/expanded_cohort/colo829_platform_pacbio_sequel.json	aMdRydCI.EtSadw0rQDuQjT3JLUH3493	2026-06-15T01:49:32+00:00	false	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_runs/expanded_cohort/colo829_platform_pacbio_sequel.json/	3.cGGgiju6pzjsNw0Lh5Hp4DLHXQKKtg	2026-06-15T01:49:32+00:00	true	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_runs/expanded_cohort/colo829_purity_illumina.json	_hhUo6KGM.kJ3o59qnnK3dRpnjWKl_zK	2026-06-15T01:49:33+00:00	false	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_runs/expanded_cohort/colo829_purity_illumina.json/	i12QfHYMklfxG.ebCjLgqBVMm79UTbNn	2026-06-15T01:49:33+00:00	true	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_runs/expanded_cohort/colo829_purity_long_read.json	zPtVfLpmuFxIbjudxbAQw3zDUiNxDHMa	2026-06-15T01:49:33+00:00	false	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_runs/expanded_cohort/colo829_purity_long_read.json/	d97iaW0kOcDweWfwAWCeeumqLsBQCete	2026-06-15T01:49:33+00:00	true	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_runs/expanded_cohort/colo829_sv_cna_truth_asset.json	ZevZUHjSCJ5FyMOZ8.lGLF0wKFs2pVcI	2026-06-15T01:49:33+00:00	false	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_runs/expanded_cohort/colo829_sv_cna_truth_asset.json/	jT7F1BE_YXtbLPwmgtGC6mszaqM83..e	2026-06-15T01:49:33+00:00	true	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_runs/expanded_cohort/hcc1395_wes_summary.json	QgpJjAckj6qzeypYRuZY2mu9wxtal.53	2026-06-15T01:49:33+00:00	false	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
runs/known_answer_expanded_cohort/workspace/results/clinicalization/known_answer_runs/expanded_cohort/hcc1395_wes_summary.json/	J1v7RHfGoCd0CbrtHWIQ1LidpLPDnnfa	2026-06-15T01:49:34+00:00	true	7dc3b6503ec677f12c0fc39efccc187126f9a89cedfd440fe2a1e0315ce7f90d
