chr15	0	5000000	0	0
chr15	5000000	10000000	0	0
chr15	10000000	15000000	0	0
chr15	15000000	20000000	140173669	181622159
chr15	20000000	25000000	239227179	314892192
chr15	25000000	30000000	217727198	285807430
chr15	30000000	35000000	216977362	306108276
chr15	35000000	40000000	231332076	319307722
chr15	40000000	45000000	220195307	309868502
chr15	45000000	50000000	229326262	307122833
chr15	50000000	55000000	225663591	318712731
chr15	55000000	60000000	412670061	313866256
chr15	60000000	65000000	434073428	309558272
chr15	65000000	70000000	400188824	303200399
chr15	70000000	75000000	374008192	300429663
chr15	75000000	80000000	321054686	307033578
chr15	80000000	85000000	305284663	299701270
chr15	85000000	90000000	367961160	296752774
chr15	90000000	95000000	449865380	303051113
chr15	95000000	100000000	482016295	296797326
chr15	100000000	101991189	187139438	120950400
