chr14	0	5000000	0	0
chr14	5000000	10000000	0	0
chr14	10000000	15000000	0	0
chr14	15000000	20000000	246569564	184177203
chr14	20000000	25000000	406891021	310557054
chr14	25000000	30000000	372460955	308380157
chr14	30000000	35000000	373614057	312699713
chr14	35000000	40000000	261688733	314418758
chr14	40000000	45000000	225474154	309022882
chr14	45000000	50000000	399958269	311113980
chr14	50000000	55000000	439092036	317575689
chr14	55000000	60000000	418055045	314412217
chr14	60000000	65000000	237446232	319509864
chr14	65000000	70000000	360436196	317221256
chr14	70000000	75000000	220767637	311319931
chr14	75000000	80000000	428678110	300870971
chr14	80000000	85000000	528387893	306903035
chr14	85000000	90000000	677201568	294751440
chr14	90000000	95000000	620535236	302412406
chr14	95000000	100000000	536256386	291667513
chr14	100000000	105000000	332191759	289233720
chr14	105000000	107043718	112952705	85220149
