chr20	0	5000000	273038876	293954976
chr20	5000000	10000000	286686768	317462701
chr20	10000000	15000000	304221983	308657557
chr20	15000000	20000000	274895458	295619596
chr20	20000000	25000000	270234452	295445614
chr20	25000000	30000000	412597853	428850673
chr20	30000000	35000000	309627589	308490070
chr20	35000000	40000000	367645227	301600796
chr20	40000000	45000000	373352890	297330145
chr20	45000000	50000000	394345623	300010556
chr20	50000000	55000000	400105767	296588827
chr20	55000000	60000000	392489900	287853534
chr20	60000000	64444167	313994255	234788801
