chr4	0	5000000	203763020	284248824
chr4	5000000	10000000	207308329	275556027
chr4	10000000	15000000	208900166	291582814
chr4	15000000	20000000	122602213	297464910
chr4	20000000	25000000	128301411	299548698
chr4	25000000	30000000	277474593	302660935
chr4	30000000	35000000	276230166	301211587
chr4	35000000	40000000	277347777	319506750
chr4	40000000	45000000	275564251	307537546
chr4	45000000	50000000	422512651	454427407
chr4	50000000	55000000	341062434	352180913
chr4	55000000	60000000	292316514	298254083
chr4	60000000	65000000	289432749	294837287
chr4	65000000	70000000	292076370	306977947
chr4	70000000	75000000	315041711	319369743
chr4	75000000	80000000	297577303	319650236
chr4	80000000	85000000	285364770	313666755
chr4	85000000	90000000	324837187	323079247
chr4	90000000	95000000	385557008	313204631
chr4	95000000	100000000	467579177	310098622
chr4	100000000	105000000	386434420	319096753
chr4	105000000	110000000	376565275	311953642
chr4	110000000	115000000	381292540	324968498
chr4	115000000	120000000	375137716	308352037
chr4	120000000	125000000	382170944	312901784
chr4	125000000	130000000	372373205	308122832
chr4	130000000	135000000	351453540	300514225
chr4	135000000	140000000	264234293	306860938
chr4	140000000	145000000	192757227	310002205
chr4	145000000	150000000	172609068	314391424
chr4	150000000	155000000	173681375	317069628
chr4	155000000	160000000	177915475	311573481
chr4	160000000	165000000	174225064	307750013
chr4	165000000	170000000	184622217	309961704
chr4	170000000	175000000	243893605	308030648
chr4	175000000	180000000	243307352	306296373
chr4	180000000	185000000	238843210	296168705
chr4	185000000	190000000	236001787	290602120
chr4	190000000	190214555	29261955	32028082
